time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-08T00:40:49.340Z,-11.3181,-13.9405,10,4.8,mb,,80,3.389,0.88,us,us2000j8bm,2019-04-02T20:53:12.040Z,"Ascension Island region",earthquake,7.2,1.9,0.154,13,reviewed,us,us
2019-01-07T17:41:46.230Z,10.4629,-63.0537,10,4.8,mb,,71,2.153,0.56,us,us2000j15k,2019-03-08T17:50:19.040Z,"13km SE of El Pilar, Venezuela",earthquake,5.3,1.9,0.068,66,reviewed,us,us
2019-01-07T17:15:44.420Z,26.7955,99.4683,10,4.5,mb,,121,5.322,1,us,us2000j159,2019-03-08T17:50:19.040Z,"39km N of Jinding, China",earthquake,11.5,1.9,0.115,22,reviewed,us,us
2019-01-07T16:58:50.260Z,-8.2027,108.9246,71.48,4.5,mb,,60,1.608,0.69,us,us2000j14r,2019-08-24T07:38:48.085Z,"56km SSW of Karangbadar Kidul, Indonesia",earthquake,8.2,7.1,0.097,31,reviewed,us,us
2019-01-07T16:35:26.260Z,35.0039,140.0285,46.82,4.6,mb,,138,1.552,0.54,us,us2000j14f,2019-03-08T17:50:18.040Z,"12km SSW of Kawaguchi, Japan",earthquake,6.7,8.1,0.1,30,reviewed,us,us
2019-01-07T15:04:08.690Z,-7.9552,107.7593,66.25,4.7,mb,,80,2.738,0.97,us,us2000j13r,2019-03-08T17:50:18.040Z,"30km S of Cibaregbeg, Indonesia",earthquake,6.7,8.1,0.093,35,reviewed,us,us
2019-01-07T14:40:02.750Z,2.1922,126.7007,53.07,4.8,mb,,110,1.56,0.69,us,us2000j13j,2019-03-08T17:50:18.040Z,"154km WNW of Tobelo, Indonesia",earthquake,6.8,7.7,0.076,54,reviewed,us,us
2019-01-07T14:24:03.710Z,28.931,130.5334,10,4.9,mb,,125,2.891,0.35,us,us2000j13l,2019-03-08T17:50:18.040Z,"120km ENE of Naze, Japan",earthquake,7.8,1.9,0.103,30,reviewed,us,us
2019-01-07T14:22:03.580Z,28.8211,130.7651,10,4.6,mb,,139,2.963,1.25,us,us2000j8ba,2019-03-08T17:50:23.040Z,"135km ENE of Naze, Japan",earthquake,9.3,1.9,0.181,10,reviewed,us,us
2019-01-07T14:11:52.010Z,2.442,126.781,39.88,5.2,mww,,34,1.759,1.11,us,us2000j137,2019-03-08T17:50:18.040Z,"157km WNW of Tobelo, Indonesia",earthquake,4.1,4.7,0.08,15,reviewed,us,us
2019-01-07T13:43:28.900Z,-19.5722,-68.9156,103.54,4.9,mww,,55,0.279,0.53,us,us2000j12v,2019-03-08T17:50:18.040Z,"147km ENE of Iquique, Chile",earthquake,7.6,4.8,0.062,25,reviewed,us,us
2019-01-07T09:14:47.750Z,16.1824,146.4919,55.9,4.8,mb,,74,3.018,0.92,us,us2000j11s,2019-03-08T17:50:18.040Z,"90km ESE of Anatahan, Northern Mariana Islands",earthquake,11.6,8.2,0.063,77,reviewed,us,us
